"ScamBench: Measuring Real-World Risk of AI-Generated Social Engineering", Ground Truth,Tuesday, 18:00-18:45, Florentine E
"Security Before Cyber: Building Robust Security & Compliance Programs from Scratch", Training Ground,Tuesday, 15:00-19:00, PUB 365 Back Room
"Selective Defense: When Blue Teams Choose Who Matters - TOKEN: 4", Skytalks,Monday, 15:00-15:45, Tuscany
"So, You Want to be a Forensicator…", Hire Ground,Monday, 10:00-10:45, Florentine B
"Social Engineering Has a Grammar: Reverse-Engineering the Sequence Behind Real Attacks", Ground Truth,Tuesday, 17:00-17:45, Florentine E
"Social Engineering the Machine", Ground Truth,Wednesday, 12:00-13:00, Florentine E
"Social Tech for the AIpocalypse - TOKEN: 7", Skytalks,Tuesday, 10:00-11:00, Tuscany
"Spanning the Eras: Egress Domain Governance from On-Premises to Agentic Sandboxes", Proving Ground,Tuesday, 17:00-17:30, Firenze
"Stack Overflow, but the Largest Byte is 3F", Proving Ground,Tuesday, 14:30-15:00, Firenze
"Step-by-Step Malware Development: Evading EDR from Loaders to the Kernel", Training Ground,Wednesday, 10:00-12:00, H116
"Sybil-Resistant Hiring: Verifying Real Signal in Cyber Interviews", Hire Ground,Tuesday, 12:00-12:25, Florentine B
"Taiwan Conflict: Most Likely/Most Damaging", I Am The Cavalry,Wednesday, 10:30-11:15, Copa
"The 0-day Vending Machine: No Mythos Necessary", Proving Ground,Wednesday, 11:30-12:00, Firenze
"The Agent Long Con: Tricking OpenClaw Out of Its Data", [un]prompted,Monday, 17:30-18:00, Siena
"The DIE Triad: The Past Present and Future of Security and How to Stop It", I Am The Cavalry,Tuesday, 18:00-18:30, Copa
"The Dots Do Matter: Gmail’s Invisible Blindspot", PasswordsCon,Tuesday, 14:00-14:30, Siena
"The Erosion of the Neutral Web and What Can Be Done to Save It - TOKEN: 10", Skytalks,Tuesday, 14:00-14:45, Tuscany
"The Holy Grail of Election Security: Serious Quest or Theater of the Absurd? - TOKEN: 1", Skytalks,Monday, 10:00-10:45, Tuscany
"The Key to Whole-of-Society Security: Civilian Cyber Corps (You)", I Am The Cavalry,Monday, 18:30-19:00, Copa
"The Keyless Backdoor: Detecting GCP Workload Identity Federation Abuse", Breaking Ground,Monday, 10:00-10:30, Florentine A
"The Laptop Is the Perimeter: How Attackers Target Developers to Breach the Software Supply Chain", PasswordsCon,Wednesday, 11:30-12:00, Siena
"The Meeple Problem: How to Build Risk Controls Around Actions, Not Roles", Ground Truth,Tuesday, 11:00-11:45, Florentine E
"The Next 12 Months", I Am The Cavalry,Wednesday, 11:15-12:00, Copa
"The Shadow IT Leak: Solving Silent Data Loss in Vulnerability Pipelines", Ground Truth,Monday, 17:00-17:45, Florentine E
